id;nom;categorie;image;description
B001;Reptilluminati;Conspibadges;B001.webp;Adhésion ou référence sérieuse à une théorie selon laquelle des sociétés secrètes, élites occultes ou entités non humaines contrôleraient les institutions. 
B002;Pizzagate;Conspibadges;B002.webp;Promotion ou reprise de théories conspirationnistes impliquant des réseaux secrets, pédocriminels ou criminels cachés derrière des personnalités ou institutions.
B003;Antivax;Conspibadges;B003.webp;Opposition aux vaccins fondée sur des affirmations trompeuses ou conspirationnistes concernant leur dangerosité, leur composition ou leur efficacité.
B004;La terre est plate / On a marché sur la lune;Conspibadges;B004.webp;Remet en question la forme sphérique de la Terre, la réalité des missions lunaires ou les deux.
B005;Deep state;Conspibadges;B005.webp;Présente un « État profond » secret comme explication de l'action des gouvernements ou institutions.
B006;Techno complot 5G;Conspibadges;B006.webp;Théories conspirationnistes concernant la 5G, les micropuces, la surveillance technologique, etc.
B007;Chemtrails;Conspibadges;B007.webp;Croit que les traînées d'avion résultent d'une opération secrète de pulvérisation ou de contrôle.
B008;Grand remplacement;Conspibadges;B008.webp;Présente les changements démographiques comme le résultat d'un projet organisé de remplacement de population.
B009;ClimatoSceptique;Droito-religioso-Intoléro-Xénophobadges;B009.webp;Rejette ou minimise le rôle humain dans le changement climatique ou le consensus scientifique à ce sujet.
B010;Great Reset;Conspibadges;B010.webp;Évoque le Great Reset, le WEF ou l'Agenda 2030 comme un projet secret de contrôle ou de transformation de la société.
B011;Élections truquées;Conspibadges;B011.webp;Affirme qu'une élection a été volée ou truquée sans preuves suffisantes.
B012;Villes 15 minutes;Conspibadges;B012.webp;Présente la ville du quart d'heure comme une mesure de contrôle, de restriction de liberté ou de surveillance.
B013;Faites vos recherches;Conspibadges;B013.webp;Présente ou encourage une « recherche personnelle » ou le fait de « seulement se poser des questions » comme substitut aux sources fiables et vérifiables, notamment en s'appuyant sur des publications sur les réseaux sociaux, des sources non vérifiées, des raisonnements personnels ou le doute systématique pour soutenir ou remettre en cause une affirmation factuelle.
B014;Le bal masqué;Conspibadges;B014.webp;S'oppose au port du masque ou aux mesures sanitaires liées à celui-ci, notamment en contestant leur utilité, leur nécessité ou leur caractère légitime, ou se moque, intimide ou dénigre des personnes qui portent un masque ou qui en défendent le port.
